StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,Q1,Q2,Q3,Q5_1 - Friend anger,Q6_1 -  Friend morality,Q5_1 - Stranger anger,Q6_1 - Stranger morality,Q7,Q8
########,########,0,100,143,1,########,R_4AZvx3Jg6qOIDAZ,anonymous,EN,0.8,,1,18,2,8,-5,,,1,
########,########,0,100,81,1,########,R_9gSce73e66t0XRM,anonymous,EN,1,,1,21,2,,,9,-4,1,How one perceives morality.
########,########,0,100,78,1,########,R_9qkYljsufOd2kVP,anonymous,EN,1,,1,18,2,6,-4,,,1,About the correlation with anger and immortality
########,########,0,100,91,1,########,R_9m7RMUO5ZJd52tv,anonymous,EN,1,,1,18,2,8,-2,,,1,reaction towards a person's morals
########,########,0,100,100,1,########,R_9lafXylZzWLy63a,anonymous,EN,0.9,,1,18,2,,,10,-4,1,emotional and situation
########,########,0,100,91,1,########,R_4DoxgjwGLtWxa0K,anonymous,EN,1,,1,21,2,,,10,-5,1,Comparing the immorality of males or females taking credit for ideas
########,########,0,100,58,1,########,R_6jligvKrrgq6TeT,anonymous,EN,0.6,,1,18,2,9,-5,,,1,
########,########,0,100,149,1,########,R_9c5peJbWvdrqipX,anonymous,EN,0.7,,1,18,2,4,-2,,,1,Anger and morality
########,########,0,100,56,1,########,R_3MQm6Lx8p8D7eNB,anonymous,EN,1,,1,18,2,,,10,-4,1,
########,########,0,100,217,1,########,R_4JxiQjSbufO9uoW,anonymous,EN,1,,1,20,2,,,8,-2,1,How does morality correspond with actions
########,########,0,100,128,1,########,R_93jzsYiQC2h4F5l,anonymous,EN,0.9,,1,18,2,8,-4,,,1,about cognitive bias
########,########,0,100,126,1,########,R_4jTgBAZF7Jn8kvh,anonymous,EN,0.9,,1,18,2,6,0,,,1,What peers do on the daily and how that affects your anger
########,########,0,100,96,1,########,R_9NxlznhabDhOD02,anonymous,EN,1,,1,18 years old,2,,,10,-2,1,I think this survey was about how well people handle their emotions when they are put in an uncomfortable situation.
########,########,0,100,167,1,########,R_7ccq432TkN0SSWU,anonymous,EN,0.7,,1,21,1,10,-5,,,1,"Stealing of one’s ideas, could be, or friendship issues"
########,########,0,100,24633,1,########,R_4IRBRh6JTkRVUmD,anonymous,EN,1,,1,18,2,,,10,-5,1,The survey is about how people react when someone takes credit for a shared idea.
########,########,0,100,95,1,########,R_6RULkHYCxhGALlv,anonymous,EN,1,,1,18,1,,,6,0,1,Perspective
########,########,0,100,205,1,########,R_4lAHBAwgqIUnARH,anonymous,EN,1,,1,17,1,,,10,0,1,"about finding how people would react to an unfair situation, and what impact morals have"
########,########,0,100,148,1,########,R_1xDLHMK2dFKB2vL,anonymous,EN,1,,1,21,2,,,10,-3,1,How emotions affect morality
########,########,0,100,115,1,########,R_4FdJFSuWq1y8qVr,anonymous,EN,1,,1,19,2,8,-4,,,1,"I believe the survey was about how people perceive leadership, teamwork, product effectiveness, and moral decision-making in different scenarios."
########,########,0,100,189,1,########,R_4dKUDlGwKWExOg1,anonymous,EN,1,,1,21,2,,,10,-2,1,credit of team work
########,########,0,100,99,1,########,R_9l6mkxA541us0GU,anonymous,EN,0.9,,1,18,2,9,-4,,,1,How certain scenarios affect our workplace relationships
########,########,0,100,173,1,########,R_9X5Tvps7VeHUQQV,anonymous,EN,1,,1,24,1,,,8,-3,1,The influence of intense emotions on human attention
########,########,0,100,123,1,########,R_4DGsuCd3LlbXfV0,anonymous,EN,0.8,,1,18,2,9,-5,,,1,the relationship between one's anger and his perception of the morality of the issue
########,########,0,100,47,1,########,R_9e1Z7QCy9yu2JfP,anonymous,EN,1,,1,19,1,,,10,-3,1,Honesty
########,########,0,100,176,1,########,R_4CJpekv8mf2vVbX,anonymous,EN,0.9,,1,18,1,6,-1,,,1,To measure workplace dynamics and emotions
########,########,0,100,65,1,########,R_6Eu6lSqsq6fFln2,anonymous,EN,0.9,,1,18,4,1,5,,,1,Being a pushover
########,########,0,100,450,1,########,R_9Pc8S8dH9lWEv95,anonymous,EN,1,,1,19,1,,,10,-5,1,"it was a kind of interesting because i really do not like when people talk like their idea but in reality not. Even tough its just survey, i feel really bad for him and annoyed"
########,########,0,100,129,1,########,R_45YvT8VaiBFBOqR,anonymous,EN,1,,1,18,2,8,0,,,1,How angry we get in certain situations
########,########,0,100,52,1,########,R_9nAB8I8XYlfeJCO,anonymous,EN,0.9,,1,18,1,,,6,-1,1,Ethics in teamwork
########,########,0,100,180,1,########,R_1Jl0dlX4CsYCAoT,anonymous,EN,1,,1,19,2,,,10,-3,1,About psychological emotions in a stressful situation?
########,########,0,100,85,1,########,R_4IXpjrYzz6k8VrV,anonymous,EN,1,,1,19,2,,,9,-4,1,The perceived morality in a seemingly unfair social condition among peers.
########,########,0,100,115,1,########,R_9LTFVJxqxtZWmJE,anonymous,EN,0.9,,1,18,1,10,-4,,,1,how angry you would be if a coworker did some stupid stuff
########,########,0,100,152,1,########,R_9gGugPN2qGXd5AZ,anonymous,EN,0.8,,1,22,1,,,6,-3,1,rating judgements on morality vs anger
########,########,0,100,100,1,########,R_1dMrWlEFyY0srdD,anonymous,EN,1,,1,18,2,8,-4,,,1,
########,########,0,100,80,1,########,R_9snRh52KtHrghn7,anonymous,EN,1,,1,17,2,,,10,-5,1,plagiarism stuff
########,########,0,100,90,1,########,R_4xSq6QMd7klBF8l,anonymous,EN,1,,1,22,1,2,-1,,,1,morality
########,########,0,100,69,1,########,R_5KDZHqDHetOGchk,anonymous,EN,1,,1,23,1,,,8,-3,1,I have no idea
########,########,0,100,119,1,########,R_9pYxWCzGNMgnksb,anonymous,EN,0.7,,1,18,2,8,-3,,,1,How feeling affects a person's attention or memory
########,########,0,100,245,1,########,R_3VlixVETVqSbWug,anonymous,EN,1,,1,19,2,,,9,-4,1,anger
########,########,0,100,75,1,########,R_9DUu0vfD2fx4xaD,anonymous,EN,1,,1,18,2,10,-4,,,1,Morale
########,########,0,100,78,1,########,R_9NzgmriLPhlTWXA,anonymous,EN,1,,1,18,2,8,-3,,,1,Whether if it would make me angry I wouldve remembered the name
########,########,0,100,72,1,########,R_1PZqu4ZfaUQccTL,anonymous,EN,1,,1,18,1,,,7,-2,1,Someone stealing your idea
########,########,0,100,162,1,########,R_9WFv2EsCgnbIW53,anonymous,EN,1,,1,18,1,,,6,-3,1,How mad we get vs how inmoral we believe something is
########,########,0,100,86,1,########,R_4KDDF42MFEDeM2L,anonymous,EN,1,,1,18,2,,,5,1,1,idk